,INSTNM,CITY,STABBR,WOMENONLY,HBCU,ADM_RATE,SAT_AVG,ACTCMMID,FEMALE,FIRST_GEN,FAMINC,AVGFACSAL,PFTFAC,PCTPELL,DEBT_MDN_SUPP,C150_4_POOLED,D150_4_WHITE,D150_4_BLACK,D150_4_HISP,D150_4_ASIAN,D150_4_AIAN,D150_4_NHPI,D150_4_2MOR,D150_4_NRA,D150_4_UNKN,RET_FT4_POOLED,TRANS_4_POOLED_SUPP,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,COMPL_RPY_3YR_RT,FIRSTGEN_RPY_3YR_RT,NET_PRICE
1713,Universidad Central de Bayamon,Bayamón,PR,0,0,0.072963857,NA,NA,0.120005033,-0.211284288,-1.685364036,-1.837518723,1.275454414,2.170910189,-2.022438317,-0.156743163,-0.43753185,-0.212022113,0.565833952,-0.297780614,-0.206590254,-0.130669156,-0.295024831,-0.342718666,-0.065182554,-0.191807691,-0.11696333,-2.164991883,-0.748507866,5.185671123,-0.658335552,-0.280848356,-0.143320602,-1.086111805,-0.570854407,-0.659223619,-1.323415733,-0.857218755,-1.848670719
1714,Carlos Albizu University-San Juan,San Juan,PR,0,0,0.92935126,NA,NA,1.688192839,-0.441350067,-1.453208664,-1.421308015,-1.621492126,0.292143756,-1.731186952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.121034984,-0.748507866,4.362374665,-0.658335552,-0.280848356,-0.143320602,-1.086111805,-0.570854407,0.934243796,-1.163867007,-0.874897855,NA
1715,Caribbean University-Bayamon,Bayamon,PR,0,0,NA,NA,NA,-0.225490029,1.078063616,-1.812480972,-1.9861364,-1.485072799,2.468670805,-1.634103164,-1.260264822,-0.43753185,-0.212022113,1.119478239,-0.297780614,-0.206590254,-0.130669156,-0.295024831,-0.342718666,-0.065182554,0.172787155,-0.13766249,-2.164991883,-0.748507866,5.185671123,-0.658335552,-0.280848356,-0.143320602,-1.086111805,-0.570854407,-0.659223619,-2.174994556,-1.456378118,-2.508109214
1716,Pontifical Catholic University of Puerto Rico-Arecibo,Arecibo,PR,0,0,-1.302806646,NA,NA,-0.134329162,-0.405116173,-1.594549439,-1.617028562,-0.771549724,2.189893107,-1.634103164,-1.170259585,-0.43753185,-0.212022113,-0.00308328,-0.297780614,-0.206590254,-0.130669156,-0.295024831,-0.342718666,-0.065182554,0.058169319,-0.356444517,-2.146319926,-0.740412019,4.810587637,-0.658335552,-0.280848356,-0.143320602,-1.086111805,-0.570854407,0.051192095,-1.453684836,-1.461935612,-2.411305996
1717,Pontifical Catholic University of Puerto Rico-Ponce,Ponce,PR,0,0,0.512060639,NA,NA,-0.134329162,-0.405116173,-1.594549439,-1.264975212,-0.0283858,2.219181036,-1.634103164,-0.73603219,-0.43753185,-0.212022113,3.42569306,-0.297780614,-0.206590254,-0.130669156,-0.295024831,-0.15384429,-0.065182554,0.728679348,-0.415655311,-2.162268889,-0.747495885,5.131413764,-0.658335552,-0.280848356,-0.143320602,-1.086111805,-0.526962544,-0.594640372,-1.453684836,-1.461935612,-2.152584689
1718,Universidad Teologica del Caribe,Trujillo Alto,PR,0,0,NA,NA,NA,-1.549887625,2.033804141,-1.623870789,-2.442140913,-1.156166517,1.676811973,-2.177772378,0.009862276,-0.43753185,-0.212022113,-0.327633379,-0.297780614,-0.206590254,-0.130669156,-0.295024831,-0.342718666,-0.065182554,-0.691632326,NA,-2.164991883,-0.748507866,5.185671123,-0.658335552,-0.280848356,-0.143320602,-1.086111805,-0.570854407,-0.659223619,NA,NA,-2.161944116
1719,Universidad Metropolitana,San Juan,PR,0,0,NA,NA,NA,0.179345982,0.765657579,-1.666489588,-1.282029699,1.275454414,2.358027516,-2.138938862,-1.087914368,-0.43753185,-0.212022113,6.507009882,-0.297780614,-0.206590254,-0.130669156,-0.295024831,-0.342718666,-0.065182554,0.00293503,-0.399448599,-2.164991883,-0.748507866,5.185671123,-0.658335552,-0.280848356,-0.143320602,-1.086111805,-0.570854407,-0.659223619,-0.862468011,-0.772330827,-1.620434403
1720,Puerto Rico Conservatory of Music,San Juan,PR,0,0,0.351488001,NA,NA,-2.991420723,NA,-1.27285921,-1.729100909,-0.169090551,1.163188471,-2.119522105,0.449834686,-0.43753185,-0.212022113,-0.262723359,-0.297780614,-0.206590254,-0.130669156,-0.295024831,-0.342718666,-0.065182554,1.175278564,1.404613006,-2.155655904,-0.748507866,4.941513005,-0.658335552,-0.280848356,-0.143320602,-1.086111805,-0.020082313,-0.659223619,-0.290616782,NA,-1.809317668
1721,Escuela de Artes Plasticas y Diseno de Puerto Rico,San Juan,PR,0,0,0.938271962,NA,NA,0.505472363,-1.606821215,-1.366397831,-1.542719724,-1.553639581,2.250096073,NA,-0.556500467,-0.43753185,-0.212022113,-0.083266246,-0.297780614,-0.206590254,-0.130669156,-0.295024831,-0.342718666,-0.065182554,0.835602238,1.033125144,-2.158378898,-0.748507866,5.165029736,-0.658335552,-0.280848356,-0.143320602,-1.086111805,-0.546784676,-0.659223619,NA,NA,-2.848683981
1722,Inter American University of Puerto Rico-San German,San German,PR,0,0,-0.159965587,NA,NA,-0.558571559,0.02844079,-1.598590764,-0.941752066,1.275454414,2.322231158,-2.604941046,-0.729329673,-0.43753185,-0.212022113,3.349328331,-0.297780614,-0.206590254,-0.130669156,-0.295024831,-0.342718666,-0.065182554,0.470901704,-0.492987805,-2.1576009,-0.738894048,5.153824412,-0.655178014,-0.23244485,-0.135960163,-1.086111805,-0.570854407,-0.659223619,NA,NA,-1.942532403
